Timestamp,Umidade,LDR_Valor,N_Botao,P_Botao,K_Botao,pH_Ideal,Umidade_Baixa,NPK_OK,Relay_Status,Bloqueio_Externo
29686,40.00,3.42,0,0,0,0,1,0,0,0
34694,40.00,3.42,0,0,0,0,1,0,0,0
39702,40.00,3.42,1,0,0,0,1,0,0,0
44710,40.00,3.42,1,1,0,0,1,0,0,0
49718,40.00,3.42,1,1,1,0,1,1,0,0
54726,40.00,3.42,1,1,1,0,1,1,0,0
59734,40.00,3.02,1,1,1,0,1,1,0,0
64742,40.00,4.13,1,1,1,0,1,1,0,0
69750,40.00,4.51,1,1,1,0,1,1,0,0
74758,40.00,5.55,1,1,1,1,1,1,1,0
79766,40.00,5.55,1,1,1,1,1,1,1,0
84774,40.00,5.55,1,1,1,1,1,1,1,0
89782,40.00,5.55,0,1,1,1,1,0,0,0
94790,40.00,5.55,0,1,1,1,1,0,0,0
99798,40.00,5.55,0,1,1,1,1,0,0,0
104806,40.00,5.55,0,1,1,1,1,0,0,0
109814,40.00,5.55,0,1,1,1,1,0,0,0
114822,40.00,5.55,0,1,1,1,1,0,0,0
119830,40.00,5.55,1,1,1,1,1,1,1,0
124838,40.00,5.55,1,1,1,1,1,1,1,0
129846,40.00,5.55,1,1,1,1,1,1,1,0
134854,40.00,5.55,1,1,1,1,1,1,1,0
139862,40.00,5.55,1,1,1,1,1,1,1,0
144870,40.00,5.55,1,1,1,1,1,1,1,0
149879,74.00,5.55,1,1,1,1,0,1,0,0
15488
7,74.00,8.22,1,1,1,0,0,1,0,0
159895,74.00,8.22,1,1,1,0,0,1,0,0
164903,74.00,8.22,1,1,1,0,0,1,0,0
169911,74.00,8.22,1,1,1,0,0,1,0,0
